Player Name,Position,Team,Rookie,SFValue,Value
Bijan Robinson,RB,ATL,No,9998,9997
Jahmyr Gibbs,RB,DET,No,9994,9995
Ja'Marr Chase,WR,CIN,No,9973,9998
Josh Allen,QB,BUF,No,9954,7611
Jaxon Smith-Njigba,WR,SEA,No,9178,9116
Drake Maye,QB,NEP,No,8952,6508
Puka Nacua,WR,LAR,No,8745,8783
Brock Bowers,TE,LVR,No,8336,8375
Amon-Ra St. Brown,WR,DET,No,8060,8073
Caleb Williams,QB,CHI,No,7853,5907
Ashton Jeanty,RB,LVR,No,7620,7812
Lamar Jackson,QB,BAL,No,7548,6221
Justin Jefferson,WR,MIN,No,7472,7644
Jeremiyah Love,RB,ARI,Yes,7439,7631
Jayden Daniels,QB,WAS,No,7410,6001
Malik Nabers,WR,NYG,No,7398,7606
Joe Burrow,QB,CIN,No,7393,5731
Trey McBride,TE,ARI,No,7330,7454
CeeDee Lamb,WR,DAL,No,7204,7462
Omarion Hampton,RB,LAC,No,6965,7304
Drake London,WR,ATL,No,6931,7323
De'Von Achane,RB,MIA,No,6931,7366
2027 Early 1st,PI,PICK,No,6882,7270
Justin Herbert,QB,LAC,No,6866,5481
Jonathan Taylor,RB,IND,No,6338,6757
James Cook,RB,BUF,No,6336,6863
Tetairoa McMillan,WR,CAR,No,6300,6663
Emeka Egbuka,WR,TBB,No,6270,6645
Colston Loveland,TE,CHI,No,6254,6669
Trevor Lawrence,QB,JAC,No,6194,5036
Patrick Mahomes,QB,KCC,No,6193,5181
George Pickens,WR,DAL,No,6147,6620
Tyler Warren,TE,IND,No,6055,6446
Bo Nix,QB,DEN,No,6015,4829
Jalen Hurts,QB,PHI,No,6012,5367
Jaxson Dart,QB,NYG,No,5958,5257
Carnell Tate,WR,TEN,Yes,5927,6301
Chris Olave,WR,NOS,No,5642,6219
Kenneth Walker III,RB,KCC,No,5634,6290
Nico Collins,WR,HOU,No,5627,6177
Chase Brown,RB,CIN,No,5622,6176
Ladd McConkey,WR,LAC,No,5609,6188
Brock Purdy,QB,SFO,No,5589,4685
Garrett Wilson,WR,NYJ,No,5582,6242
2026 Early 1st,PI,PICK,No,5550,6152
2027 Mid 1st,PI,PICK,No,5504,6152
Luther Burden,WR,CHI,No,5482,6154
DeVonta Smith,WR,PHI,No,5475,6156
Zay Flowers,WR,BAL,No,5460,6064
Fernando Mendoza,QB,LVR,Yes,5441,4630
Jordan Love,QB,GBP,No,5414,4496
Quinshon Judkins,RB,CLE,No,5371,6140
Breece Hall,RB,NYJ,No,5320,6067
Saquon Barkley,RB,PHI,No,5254,5931
Christian McCaffrey,RB,SFO,No,5237,5907
2028 Early 1st,PI,PICK,No,5208,5717
Rome Odunze,WR,CHI,No,5189,5907
A.J. Brown,WR,NEP,No,5145,5812
Jordyn Tyson,WR,NOS,Yes,5133,5857
TreVeyon Henderson,RB,NEP,No,5084,5856
Kyren Williams,RB,LAR,No,5014,5681
Tee Higgins,WR,CIN,No,5007,5733
Dak Prescott,QB,DAL,No,5005,4436
Tucker Kraft,TE,GBP,No,4995,5628
Rashee Rice,WR,KCC,No,4957,5661
2027 Late 1st,PI,PICK,No,4956,5478
Cam Ward,QB,TEN,No,4944,4352
Makai Lemon,WR,PHI,Yes,4925,5558
Jaylen Waddle,WR,DEN,No,4912,5614
Jadarian Price,RB,SEA,Yes,4898,5650
Harold Fannin,TE,CLE,No,4860,5474
Tyler Shough,QB,NOS,No,4845,4168
Cam Skattebo,RB,NYG,No,4771,5503
